Time (s),Speed (m/s)
21.8,15.1904
21.82,15.1958
21.84,15.2011
21.86,15.2065
21.88,15.2119
21.9,15.2172
21.92,15.2226
21.94,15.228
21.96,15.2333
21.98,15.2387
22,15.2441
22.02,15.2485
22.04,15.253
22.06,15.2575
22.08,15.2619
22.1,15.2664
22.12,15.2709
22.14,15.2754
22.16,15.2798
22.18,15.2843
22.2,15.2888
22.22,15.2932
22.24,15.2977
22.26,15.3022
22.28,15.3066
22.3,15.3111
22.32,15.3156
22.34,15.3201
22.36,15.3245
22.38,15.329
22.4,15.3335
22.42,15.3379
22.44,15.3424
22.46,15.3469
22.48,15.3514
22.5,15.3558
22.52,15.3603
22.54,15.3648
22.56,15.3692
22.58,15.3737
22.6,15.3782
22.62,15.3826
22.64,15.3871
22.66,15.3916
22.68,15.3961
22.7,15.4005
22.72,15.405
22.74,15.4095
22.76,15.4139
22.78,15.4184
22.8,15.4229
22.82,15.4274
22.84,15.4318
22.86,15.4363
22.88,15.4408
22.9,15.4452
22.92,15.4497
22.94,15.4542
22.96,15.4586
22.98,15.4631
23,15.4676
23.02,15.4703
23.04,15.4729
23.06,15.4756
23.08,15.4783
23.1,15.481
23.12,15.4837
23.14,15.4864
23.16,15.489
23.18,15.4917
23.2,15.4944
23.22,15.4971
23.24,15.4998
23.26,15.5025
23.28,15.5051
23.3,15.5078
23.32,15.5105
23.34,15.5132
23.36,15.5159
23.38,15.5185
23.4,15.5212
23.42,15.5239
23.44,15.5266
23.46,15.5293
23.48,15.532
23.5,15.5346
23.52,15.5373
23.54,15.54
23.56,15.5427
23.58,15.5454
23.6,15.5481
23.62,15.5507
23.64,15.5534
23.66,15.5561
23.68,15.5588
23.7,15.5615
23.72,15.5641
23.74,15.5668
23.76,15.5695
23.78,15.5722
23.8,15.5749
23.82,15.5776
23.84,15.5802
23.86,15.5829
23.88,15.5856
23.9,15.5883
23.92,15.591
23.94,15.5936
23.96,15.5963
23.98,15.599
24,15.6017
24.02,15.6035
24.04,15.6053
24.06,15.6071
24.08,15.6088
24.1,15.6106
24.12,15.6124
24.14,15.6142
24.16,15.616
24.18,15.6178
24.2,15.6196
24.22,15.6214
24.24,15.6232
24.26,15.6249
24.28,15.6267
24.3,15.6285
24.32,15.6303
24.34,15.6321
24.36,15.6339
24.38,15.6357
24.4,15.6375
24.42,15.6392
24.44,15.641
24.46,15.6428
24.48,15.6446
24.5,15.6464
24.52,15.6482
24.54,15.65
24.56,15.6518
24.58,15.6536
24.6,15.6553
24.62,15.6571
24.64,15.6589
24.66,15.6607
24.68,15.6625
24.7,15.6643
24.72,15.6661
24.74,15.6679
24.76,15.6696
24.78,15.6714
24.8,15.6732
24.82,15.675
24.84,15.6768
24.86,15.6786
24.88,15.6804
24.9,15.6822
24.92,15.684
24.94,15.6857
24.96,15.6875
24.98,15.6893
25,15.6911
25.02,15.6965
25.04,15.7018
25.06,15.7072
25.08,15.7126
25.1,15.7179
25.12,15.7233
25.14,15.7287
25.16,15.734
25.18,15.7394
